n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,k,sources
123099,23756,0.19298288369523717,0.988313723139474,0.9809908433642789,99363,0.031993395843505856,False,0.38769153056070044,1.0,0.0,0.9999929666519166,0.0,0.5952380952380952,0.2278341690106396,0.4065934065934066,0.4628621215421477,0.9375,1.0,1.0,0.8,1.0,True,0.6822276477521468,0.9998149290561382,3.0198403511067714e-05,0.9999679327011108,3.3980216783368125,1.0,0.569401981166687,0.6684981684981685,0.7206853989689973,1.0,1.0,1.0,1.0,1.0,True,0.875399898972891,0.9977929181460512,0.00046304218716970496,0.9998757839202881,52.10299906783113,1.0,0.9331050507521096,0.7875457875457875,0.8332244245988528,1.0,1.0,1.0,1.0,1.0,True,0.8810405792220912,0.9971414959504526,0.0006039680702213543,0.9998661279678345,67.96043356673626,1.0,0.9417879417879418,0.7912087912087912,0.83765337980106,1.0,1.0,1.0,1.0,1.0,True,0.9255766964135377,0.961224043715847,0.008928661304772354,0.9995204210281372,1004.6817428949176,1.0,0.9891158126452244,0.8626373626373627,0.8835402599288463,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,40000,20000,6.22,B_fleet_size,CTT_Traverse,FS-B,1,1,CTT_Forester
123099,23756,0.19298288369523717,0.9992504267941877,0.9985123035113687,99363,0.031993395843505856,False,0.0,0.0,0.0,519722.668474218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3550681932985351,1.0,0.0,296875.0,0.0,0.9976190476190476,0.5389507154213037,0.0,0.20119073549698685,0.25,0.25,0.5,0.0,1.0,True,0.8578043441656844,0.9990684904642839,0.00019125655557009552,31250.0,21.52080396279981,1.0,0.9737067384126208,0.6062271062271062,0.7859580338343135,0.625,0.8125,0.75,0.2,1.0,True,0.9982741202222596,0.9985683607730852,0.0003422485731254341,2947.803783118731,38.51091235448388,1.0,0.9998777057600587,0.9267399267399268,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982741202222596,0.9701370423399468,0.007348278187693144,10.804430647176835,826.8519417286244,1.0,0.9998777057600587,0.9267399267399268,1.0,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,40000,20000,0.28,B_fleet_size,CTT_Traverse,FS-B,1,1,CTT_Forester
123099,23756,0.19298288369523717,0.9996099173726629,0.9994136312485766,99363,0.031993395843505856,False,0.2668378514901499,1.0,0.0,0.9999904684469788,0.0,0.7690476190476191,0.1681545799192858,0.4010989010989011,0.27415958759892545,0.65625,0.875,0.75,0.2,1.0,True,0.9384576528035022,1.0,0.0,0.9999435127858426,0.0,1.0,0.9861807508866333,0.6758241758241759,0.9149059754592318,0.96875,1.0,1.0,0.9,1.0,True,0.9982741202222596,0.9992415623814941,0.0001811904210664063,0.02632597710660149,20.38813007002088,1.0,0.9998777057600587,0.9267399267399268,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982741202222596,0.9988627748294162,0.00027178563159960945,0.01993319247776197,30.582195105031314,1.0,0.9998777057600587,0.9267399267399268,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9985687826233373,0.9624700774942183,0.009311174415912546,0.0008094059280482042,1047.7233508205172,1.0,0.9998777057600587,0.9395604395604396,1.0,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,40000,12610,26.97,B_fleet_size,CTT_Traverse,FS-B,0,1,CTT_Impala
123099,23756,0.19298288369523717,0.99961086907068,0.9994111307567978,99363,0.031993395843505856,False,0.38390301397541676,1.0,0.0,0.9999303817749025,0.0,0.22777777777777777,0.5053197994374465,0.01098901098901099,0.3408843389239817,0.6875,0.9375,0.75,0.2,1.0,True,0.9448981309984846,1.0,0.0,0.9994487166404724,0.0,1.0,0.9782316252904488,0.7032967032967034,0.9296449575255935,0.96875,1.0,1.0,0.9,1.0,True,0.998316214850985,0.9989048942801786,0.0002617194970959202,0.05997767299413681,29.449521212252375,1.0,0.9998777057600587,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,True,0.998316214850985,0.9987786902505791,0.0002919179006069879,0.05048995465040207,32.84754289058919,1.0,0.9998777057600587,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9984845933658865,0.957494045937109,0.010599639632384769,0.003794159973040223,1192.7056090962212,1.0,0.9998777057600587,0.9358974358974359,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,40000,12610,6.67,B_fleet_size,CTT_Traverse,FS-B,0,1,CTT_Impala
123099,23756,0.19298288369523717,0.9993812378137632,0.9986222066038346,99363,0.031993395843505856,False,0.001641690520289611,1.0,0.0,437500.00000000006,0.0,0.030952380952380953,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,1.0,True,0.3550681932985351,1.0,0.0,296875.0,0.0,0.9976190476190476,0.5389507154213037,0.0,0.20119073549698685,0.25,0.25,0.5,0.0,1.0,True,0.8578043441656844,0.9990684904642839,0.00019125655557009552,31250.0,21.52080396279981,1.0,0.9737067384126208,0.6062271062271062,0.7859580338343135,0.625,0.8125,0.75,0.2,1.0,True,0.9982320255935343,0.9986524046155142,0.0003221163041180556,1989.798606276945,36.245564568926,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9702548995540281,0.007318079784182076,8.293283195632656,823.4539200502875,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,40000,12610,0.31,B_fleet_size,CTT_Traverse,FS-B,0,1,CTT_Impala
123099,23756,0.19298288369523717,0.9996083506302683,0.9994108340111068,99363,0.031993395843505856,False,0.20647415389796261,1.0,0.0,0.9999849000090094,0.0,0.6015873015873016,0.010395010395010396,0.5402930402930403,0.2735061351920424,0.6875,0.9375,1.0,0.1,1.0,True,0.914042768142785,1.0,0.0,0.9999293754438688,0.0,0.9952380952380953,0.9027760792466675,0.6666666666666666,0.9231104334567632,0.96875,1.0,1.0,0.9,1.0,True,0.9982741202222596,0.9992836676217765,0.00017112428656271706,0.020640709465604767,19.25545617724194,1.0,0.9998777057600587,0.9267399267399268,1.0,1.0,1.0,1.0,1.0,1.0,True,0.998316214850985,0.9989469693778695,0.00025165336259223094,0.014745494823089057,28.316847319473435,1.0,0.9998777057600587,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9986108772520627,0.9626278201590651,0.009270909877897788,0.0006189718111115666,1043.1926552494015,1.0,0.9998777057600587,0.9413919413919414,1.0,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,40000,12610,23.66,B_fleet_size,CTT_Traverse,FS-B,1,1,CTT_Impala
123099,23756,0.19298288369523717,0.9995910868028135,0.9993915967270777,99363,0.031993395843505856,False,0.3550260986698097,1.0,0.0,0.9999186992645265,0.0,0.19126984126984126,0.4632505808976397,0.005494505494505495,0.31961083278878966,0.65625,0.875,0.75,0.2,1.0,True,0.9190099343323792,1.0,0.0,0.9994032382965088,0.0,0.8611111111111112,0.9782316252904488,0.6703296703296703,0.8990053002250781,0.96875,1.0,1.0,0.9,1.0,True,0.9982741202222596,0.9991573625447651,0.00020132269007378477,0.10082359611988068,22.65347785557875,1.0,0.9998777057600587,0.9267399267399268,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9983583094797104,0.9984844019702774,0.0003623808421328126,0.06924034655094147,40.77626014004176,1.0,0.9998777057600587,0.9304029304029304,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9985687826233373,0.9608716785482826,0.009723885930563805,0.004999306984245777,1094.1629804244535,1.0,0.9998777057600587,0.9395604395604396,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,40000,12610,5.46,B_fleet_size,CTT_Traverse,FS-B,1,1,CTT_Impala
123099,23756,0.19298288369523717,0.9993801941662938,0.9986203514621368,99363,0.031993395843505856,False,0.001641690520289611,1.0,0.0,437500.00000000006,0.0,0.030952380952380953,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,1.0,True,0.3550681932985351,1.0,0.0,296875.0,0.0,0.9976190476190476,0.5389507154213037,0.0,0.20119073549698685,0.25,0.25,0.5,0.0,1.0,True,0.8578043441656844,0.9990684904642839,0.00019125655557009552,31250.0,21.52080396279981,1.0,0.9737067384126208,0.6062271062271062,0.7859580338343135,0.625,0.8125,0.75,0.2,1.0,True,0.9982320255935343,0.9986524046155142,0.0003221163041180556,1986.7468902886387,36.245564568926,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9702548995540281,0.007318079784182076,8.483686883700605,823.4539200502875,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,40000,12610,0.3,B_fleet_size,CTT_Traverse,FS-B,1,1,CTT_Impala
123099,23756,0.19298288369523717,0.9994841470474827,0.9993882277036609,99363,0.031993395843505856,False,0.8333052702475164,1.0,0.0,0.9996470680320627,0.0,1.0,0.929191635073988,0.6043956043956044,0.7702025702461337,0.65625,0.875,1.0,0.1,1.0,True,0.9193466913621822,0.9999542145506158,1.0066134503689238e-05,0.9447757395390168,1.1326738927789375,1.0,0.9997554115201174,0.6483516483516484,0.8749727728163799,0.96875,1.0,1.0,0.9,1.0,True,0.9967166189594208,0.9993669016165112,0.00015099201755533858,0.07484662243823963,16.990108391684064,1.0,0.9998777057600587,0.8589743589743589,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9968849974743222,0.9991561893511096,0.00020132269007378477,0.06177988773063682,22.65347785557875,1.0,0.9998777057600587,0.8663003663003663,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9986950665095133,0.9782294973817672,0.005314919017947918,0.003857584244959727,598.051815387279,1.0,0.9998777057600587,0.945054945054945,1.0,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,40000,20000,12.78,B_fleet_size,CTT_Traverse,FS-B,0,1,CTT_Silverado
123099,23756,0.19298288369523717,0.9995646231572378,0.9994384135026818,99363,0.031993395843505856,False,0.7846438794409833,1.0,0.0,0.9990333318710328,0.0,1.0,0.8691451632628103,0.6062271062271062,0.7218470921367893,0.71875,0.9375,1.0,0.2,1.0,True,0.9095807374978953,0.999953722985793,1.0066134503689238e-05,0.9718020558357239,1.1326738927789375,1.0,0.9993885288002935,0.6575091575091575,0.8579830102374211,0.96875,1.0,1.0,0.9,1.0,True,0.9964219565583432,0.9994511062320554,0.0001308597485479601,0.08375361561775208,14.724760606126187,1.0,0.9998777057600587,0.8461538461538461,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9967587135881462,0.9986082995951417,0.00033218243862174487,0.05491171032190323,37.37823846170494,1.0,0.9998777057600587,0.8608058608058609,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9987371611382387,0.9745738344629288,0.006230937257783639,0.0020301039330661297,701.1251396301624,1.0,0.9998777057600587,0.9468864468864469,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,40000,20000,7.07,B_fleet_size,CTT_Traverse,FS-B,0,1,CTT_Silverado
