n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed
123099,23756,0.19298288369523717,0.999744474167159,0.9995560402132495,99363,0.031993395843505856,False,0.7564404781949823,1.0,0.0,0.9992067817440892,0.0,1.0,0.9607435489788431,0.6062271062271062,0.6188194293182313,0.75,1.0,1.0,0.2,1.0,True,0.9289442667115676,1.0,0.0,0.9804999676390925,0.0,1.0,0.9997554115201174,0.6794871794871795,0.8902926014666376,0.96875,1.0,1.0,0.9,1.0,True,0.9974322276477522,0.9989460370994941,0.00025165336259223094,0.23027932608526688,28.316847319473435,1.0,0.9998777057600587,0.9120879120879121,0.9991287301241559,1.0,1.0,1.0,1.0,1.0,True,0.9976006061626537,0.9987778152393796,0.0002919179006069879,0.2156107904696427,32.84754289058919,1.0,0.9998777057600587,0.9120879120879121,0.999419153416104,1.0,1.0,1.0,1.0,1.0,True,0.9989055396531402,0.9601456605300425,0.0099151424861339,0.01869252893025319,1115.6837843872536,1.0,0.9998777057600587,0.9542124542124543,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,fleet,150000,75000,39.31,C_feature_ablation,CTT_Traverse,FS-B,0
123099,23756,0.19298288369523717,0.9989745534374005,0.99874646134326,99363,0.031993395843505856,False,0.0,0.0,0.0,503853.517646721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.8578043441656844,0.9999509298787967,1.0066134503689238e-05,24017.254365211425,1.1326738927789375,1.0,0.9737067384126208,0.6062271062271062,0.7859580338343135,0.625,0.8125,0.75,0.2,1.0,True,0.9982320255935343,0.9989468806605164,0.00025165336259223094,2930.9755263112547,28.316847319473435,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9984842105263158,0.0003623808421328126,2826.7365037423388,40.77626014004176,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9576384121471551,0.010559375094370011,5.161006152025688,1188.1749135251055,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,150000,75000,0.39,C_feature_ablation,CTT_Traverse,FS-B,0
123099,23756,0.19298288369523717,0.4902283020491946,0.18806503273401284,99363,0.031993395843505856,False,0.0,0.0,0.0,503853.517646721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,6.039680702213543e-05,3149.264534806909,6.796043356673625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0008656875673172745,2460.906005548886,97.40995477898863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0009764150468578561,2392.5976253525496,109.86936759955694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.007198181512039064,0.13286713286713286,0.01123380610611719,4.7834843097496105,1264.0640643412942,0.007936507936507936,0.011006481594716889,0.005494505494505495,0.004937195963116242,0.46875,0.5,0.75,0.2,1.0,Rule:Staleness,fleet,150000,75000,0.27,C_feature_ablation,CTT_Traverse,FS-B,0
123099,23756,0.19298288369523717,0.6393280801744037,0.5527279140275114,99363,0.031993395843505856,False,0.19043610035359487,1.0,0.0,0.9450401067733766,0.0,0.6634920634920635,0.42252659899718725,0.0,0.01691715675597183,0.28125,0.25,0.75,0.0,1.0,True,0.24364371106246843,0.9991368893492145,5.033067251844619e-05,0.8910714387893677,5.663369463894687,0.8436507936507937,0.5226855815091109,0.0,0.032745226167138604,0.3125,0.25,1.0,0.0,1.0,True,0.2974827412022226,0.9901919574050722,0.0007046294152582466,0.7901907563209534,79.28717249452562,0.9555555555555556,0.614039378745261,0.0,0.061134102955056994,0.34375,0.3125,1.0,0.0,1.0,True,0.3017763933322108,0.9893734474192658,0.0007750923567840714,0.7792393565177917,87.2158897439782,0.9611111111111111,0.6208878561819738,0.0,0.06396573005155014,0.34375,0.3125,1.0,0.0,1.0,True,0.3567940730762755,0.8993103448275862,0.009552761644001087,0.5925160646438599,1074.9075242472118,0.9936507936507937,0.7023358199828789,0.0018315018315018315,0.10745661802076527,0.46875,0.5,1.0,0.1,1.0,LogReg,fleet,150000,75000,4.18,C_feature_ablation,CTT_Traverse,FS-A-rank,0
123099,23756,0.19298288369523717,0.8163196466655602,0.7152155998672731,99363,0.031993395843505856,False,0.3170567435595218,0.9998672507633081,1.0066134503689238e-05,0.8335374234116453,1.1326738927789375,0.9952380952380953,0.656964656964657,0.0,0.06578087562622523,0.28125,0.1875,1.0,0.0,1.0,True,0.37430543862603133,0.998428026049854,0.00014092588305164932,0.7601497530835384,15.857434498905123,0.9976190476190476,0.7263054910113733,0.0,0.12313947578595803,0.40625,0.4375,1.0,0.0,1.0,True,0.4058343155413369,0.9891248589309531,0.0010670102573910592,0.6879845548675798,120.06343263456736,0.9976190476190476,0.7627491745138804,0.0,0.15588470195309664,0.46875,0.5625,1.0,0.0,1.0,True,0.40882303418083854,0.986390412350193,0.0013488620234943579,0.6805104134044758,151.77830163237763,0.9984126984126984,0.7651950593127064,0.0,0.15951499310244682,0.46875,0.5625,1.0,0.0,1.0,True,0.4674608519952854,0.9043159609120521,0.011827708041834854,0.5809332800537801,1330.8918240152516,0.9992063492063492,0.82768741592271,0.003663003663003663,0.22333551150802294,0.59375,0.75,1.0,0.1,1.0,RandomForest,fleet,150000,75000,177.41,C_feature_ablation,CTT_Traverse,FS-A-rank,0
123099,23756,0.19298288369523717,0.8184975808827932,0.7263181480200627,99363,0.031993395843505856,False,0.12455800639838356,0.9996621621621622,1.0066134503689238e-05,0.9991683399034749,1.1326738927789375,0.06428571428571428,0.3169866699278464,0.0,0.020765265374283016,0.28125,0.25,0.75,0.0,1.0,True,0.29272604815625525,0.9974182444061962,0.0001811904210664063,0.994556264845122,20.38813007002088,0.903968253968254,0.6117157881863764,0.0,0.05902853408843389,0.40625,0.4375,1.0,0.0,1.0,True,0.4015827580400741,0.9857408555486671,0.0013891265615091149,0.9366102627512163,156.30899720349336,0.9968253968253968,0.76177082059435,0.0,0.14920496623829232,0.5,0.625,1.0,0.0,1.0,True,0.4044451927933996,0.9842245441507887,0.0015501847135681427,0.930405983552109,174.4317794879564,0.9976190476190476,0.7660511189922955,0.0,0.15152835257387642,0.5,0.625,1.0,0.0,1.0,True,0.48282539148004716,0.9155491698595147,0.010649970304903214,0.6646452416537781,1198.368978560116,0.9992063492063492,0.8446863152745505,0.01098901098901099,0.23945400421113774,0.65625,0.8125,1.0,0.2,1.0,HistGB,fleet,150000,75000,74.5,C_feature_ablation,CTT_Traverse,FS-A-rank,0
123099,23756,0.19298288369523717,0.8352312400841944,0.7540608364644019,99363,0.031993395843505856,False,0.18904697760565753,1.0,0.0,0.9977940320968629,0.0,0.7214285714285714,0.3887733887733888,0.0,0.029260146663762435,0.28125,0.25,0.75,0.0,1.0,True,0.40015154066341135,0.9982148482621023,0.00017112428656271706,0.9314871430397034,19.25545617724194,0.9968253968253968,0.7519872813990461,0.0,0.15254483409569447,0.5,0.625,1.0,0.0,1.0,True,0.44300387270584274,0.9888189420276238,0.0011978700059390194,0.8249041438102722,134.78819324069357,0.9976190476190476,0.8032285679344503,0.003663003663003663,0.19581790459594858,0.5625,0.6875,1.0,0.1,1.0,True,0.4450244148846607,0.9878527378060176,0.001308597485479601,0.8172337412834167,147.24760606126188,0.9976190476190476,0.8056744527332763,0.003663003663003663,0.1978508676395847,0.5625,0.6875,1.0,0.1,1.0,True,0.5252567772352248,0.9173650933686223,0.011314335182146704,0.5415815711021423,1273.125455483526,0.9992063492063492,0.8812522930169989,0.09340659340659341,0.2876642706745081,0.59375,0.75,1.0,0.1,1.0,XGBoost,fleet,150000,75000,25.32,C_feature_ablation,CTT_Traverse,FS-A-rank,0
123099,23756,0.19298288369523717,0.8058595405388075,0.7101828514339805,99363,0.031993395843505856,False,0.1417326149183364,0.9982211680996146,6.039680702213543e-05,0.99942534969571,6.796043356673625,0.31746031746031744,0.32248991072520483,0.0,0.023959921585711173,0.25,0.1875,0.75,0.0,1.0,True,0.25303081326822696,0.9971798274717982,0.00017112428656271706,0.9982873422275353,19.25545617724194,0.8682539682539683,0.5257429375076433,0.0,0.0448703986059682,0.28125,0.25,0.75,0.0,1.0,True,0.39333221080990066,0.9860700717602364,0.0013287297544869795,0.9675323658937925,149.51295384681976,0.9944444444444445,0.7594472300354653,0.0,0.1365715530385537,0.5,0.625,1.0,0.0,1.0,True,0.3973732951675366,0.9852833733430748,0.0014193249650201827,0.963385337879878,159.70701888183018,0.9944444444444445,0.7647058823529411,0.0,0.14041966165686487,0.5,0.625,1.0,0.0,1.0,True,0.4655665937026435,0.9056665574844416,0.011596186948250002,0.7636179304834957,1304.8403244813362,0.9992063492063492,0.8610737434266846,0.005494505494505495,0.2001742539751688,0.65625,0.8125,1.0,0.2,1.0,LightGBM,fleet,150000,75000,33.64,C_feature_ablation,CTT_Traverse,FS-A-rank,0
123099,23756,0.19298288369523717,0.7858469202264875,0.6985925827165439,99363,0.031993395843505856,False,0.40297188078801144,0.9994779703487158,5.033067251844619e-05,0.9887657761573793,5.663369463894687,0.9984126984126984,0.5480004891769598,0.003663003663003663,0.27822551368619763,0.625,0.75,1.0,0.2,1.0,True,0.4196834483919852,0.9988979060214407,0.00011072747954058163,0.9856654405593872,12.459412820568314,0.9984126984126984,0.5808976397211691,0.005494505494505495,0.28744645320554707,0.625,0.75,1.0,0.2,1.0,True,0.44325644047819496,0.9926470588235294,0.0007851584912877606,0.9796026945114136,88.34856363675713,0.9984126984126984,0.6203986792222086,0.02197802197802198,0.3040005808465839,0.65625,0.8125,1.0,0.2,1.0,True,0.44430880619632934,0.9923843550206844,0.0008153568947988283,0.9792059659957886,91.74658531509394,0.9984126984126984,0.6218662101015042,0.023809523809523808,0.30487185072242795,0.65625,0.8125,1.0,0.2,1.0,True,0.4946960767806028,0.9305566553171273,0.008827999959735463,0.962171196937561,993.3550039671283,0.9992063492063492,0.6901063959887489,0.11538461538461539,0.347564074638786,0.8125,0.875,1.0,0.6,1.0,LogReg,fleet,150000,75000,5.48,C_feature_ablation,CTT_Traverse,FS-A,0
123099,23756,0.19298288369523717,0.7771784483290782,0.7152443540695544,99363,0.031993395843505856,False,0.2600185216366392,1.0,0.0,0.8997197233384404,0.0,0.9753968253968254,0.41898006603888954,0.0,0.11050606258621941,0.34375,0.4375,0.5,0.0,1.0,True,0.41513722848964474,0.9990882382737312,9.059521053320314e-05,0.8496001339056852,10.19406503501044,0.9976190476190476,0.6200317965023847,0.003663003663003663,0.2565163726130836,0.5625,0.6875,0.75,0.2,1.0,True,0.4981899309648089,0.9922864089880103,0.0009260843743394099,0.8119387348155807,104.20599813566226,0.9976190476190476,0.7128531246178305,0.007326007326007326,0.3445146300733319,0.6875,0.75,1.0,0.4,1.0,True,0.5028203401246001,0.9912863070539419,0.00105694412288737,0.8088903389869451,118.93075874178844,0.9976190476190476,0.717989482695365,0.009157509157509158,0.34937922021346113,0.75,0.8125,1.0,0.5,1.0,True,0.5649520121232531,0.9220886293369976,0.011414996527183596,0.7573398042554345,1284.452194411315,0.9992063492063492,0.7980922098569158,0.03296703296703297,0.40789951354098597,0.875,0.875,1.0,0.8,1.0,RandomForest,fleet,150000,75000,145.21,C_feature_ablation,CTT_Traverse,FS-A,0
