n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[suspension]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed
5994,1058,0.17650984317650983,0.972494718789925,0.9667004812248243,4940,0.05043064462733162,False,0.9224952741020794,0.9979550102249489,0.0004051863857374392,0.9568766558481399,28.924297903267988,1.0,1.0,0.7692307692307693,0.9241573033707865,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,False,0.9224952741020794,0.9979550102249489,0.0004051863857374392,0.9568766558481399,28.924297903267988,1.0,1.0,0.7692307692307693,0.9241573033707865,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9224952741020794,0.9979550102249489,0.0004051863857374392,0.954746761472593,28.924297903267988,1.0,1.0,0.7692307692307693,0.9241573033707865,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9224952741020794,0.9979550102249489,0.0004051863857374392,0.9551551715986542,28.924297903267988,1.0,1.0,0.7692307692307693,0.9241573033707865,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.94234404536862,0.9586538461538462,0.008711507293354943,0.8870694316898147,621.8724049202618,1.0,1.0,0.8461538461538461,0.9719101123595506,0.057692307692307696,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,fleet,150000,75000,27.18,C_feature_ablation,CIDv2_Prototype,FS-B,0
5994,1058,0.17650984317650983,0.9041014206799778,0.7699821054468886,4940,0.05043064462733162,False,0.0,0.0,0.0,1000000.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1000000.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5916824196597353,0.9936507936507937,0.0008103727714748784,1000000.0,57.848595806535975,0.0,0.9968102073365231,0.0,0.0,0.019230769230769232,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.5916824196597353,0.9936507936507937,0.0008103727714748784,1000000.0,57.848595806535975,0.0,0.9968102073365231,0.0,0.0,0.019230769230769232,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.6049149338374291,0.9580838323353293,0.005672609400324149,984375.0,404.94017064575183,0.0,0.9968102073365231,0.0,0.0,0.28846153846153844,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,Rule:Combined,fleet,150000,75000,0.1,C_feature_ablation,CIDv2_Prototype,FS-B,0
5994,1058,0.17650984317650983,0.8099739041584838,0.7261860260133,4940,0.05043064462733162,False,0.5727788279773157,1.0,0.0,8387.70967609445,0.0,0.0,0.9665071770334929,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,False,0.5727788279773157,1.0,0.0,8387.70967609445,0.0,0.0,0.9665071770334929,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.5869565217391305,1.0,0.0,2223.6332294117874,0.0,0.0,0.9904306220095693,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.5869565217391305,1.0,0.0,2223.6332294117874,0.0,0.0,0.9904306220095693,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.5973534971644613,0.8851540616246498,0.01661264181523501,916.8113372145557,1185.8962140339877,0.0,0.9968102073365231,0.07692307692307693,0.0,0.11538461538461539,0.5,0.0,1.0,0.5,0.0,1.0,Rule:Staleness,fleet,150000,75000,0.06,C_feature_ablation,CIDv2_Prototype,FS-B,0
5994,1058,0.17650984317650983,0.8296723581694462,0.7695024934363973,4940,0.05043064462733162,False,0.5926275992438563,0.9984076433121019,0.0002025931928687196,0.9683826565742494,14.462148951633994,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,False,0.5926275992438563,0.9984076433121019,0.0002025931928687196,0.9683826565742494,14.462148951633994,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.5982986767485823,0.9829192546583851,0.002228525121555916,0.9591295123100281,159.08363846797394,0.0,1.0,0.0,0.016853932584269662,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.5945179584120983,0.995253164556962,0.0006077795786061589,0.9656625390052795,43.386446854902,0.0,1.0,0.0,0.0056179775280898875,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.6323251417769377,0.9089673913043478,0.013573743922204213,0.9443949460983276,968.9639797594776,0.0,1.0,0.0,0.11797752808988764,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,LogReg,fleet,150000,75000,2.88,C_feature_ablation,CIDv2_Prototype,FS-A-rank,0
5994,1058,0.17650984317650983,0.9506427067982463,0.9468529770332103,4940,0.05043064462733162,False,0.9083175803402647,0.9968879668049793,0.0006077795786061589,0.6543006551740534,43.386446854902,0.0,0.9984051036682615,0.0,0.9410112359550562,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.9083175803402647,0.9968879668049793,0.0006077795786061589,0.6543006551740534,43.386446854902,0.0,0.9984051036682615,0.0,0.9410112359550562,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9092627599243857,0.9958592132505176,0.0008103727714748784,0.6399195484436924,57.848595806535975,0.0,0.9984051036682615,0.0,0.9438202247191011,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9092627599243857,0.9958592132505176,0.0008103727714748784,0.6414490303885918,57.848595806535975,0.0,0.9984051036682615,0.0,0.9438202247191011,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9253308128544423,0.944069431051109,0.011750405186385737,0.6093035186792267,838.8046391947717,0.0,0.9984051036682615,0.0,0.9915730337078652,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,RandomForest,fleet,150000,75000,177.54,C_feature_ablation,CIDv2_Prototype,FS-A-rank,0
5994,1058,0.17650984317650983,0.9475352565771937,0.9414006497741126,4940,0.05043064462733162,False,0.7948960302457467,0.998812351543943,0.0002025931928687196,0.9985963127827602,14.462148951633994,0.0,0.9968102073365231,0.0,0.6067415730337079,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.7948960302457467,0.998812351543943,0.0002025931928687196,0.9985963127827602,14.462148951633994,0.0,0.9968102073365231,0.0,0.6067415730337079,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8412098298676749,0.9877913429522752,0.002228525121555916,0.9975649680371407,159.08363846797394,0.0,0.9968102073365231,0.0,0.7443820224719101,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8355387523629489,0.9888143176733781,0.002025931928687196,0.9977790809196861,144.62148951633995,0.0,0.9968102073365231,0.0,0.7275280898876404,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.888468809073724,0.9582059123343527,0.008306320907617504,0.9948282981786756,592.9481070169938,0.0,0.9984051036682615,0.0,0.8820224719101124,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,HistGB,fleet,150000,75000,83.41,C_feature_ablation,CIDv2_Prototype,FS-A-rank,0
5994,1058,0.17650984317650983,0.9399946919817519,0.9404057760388688,4940,0.05043064462733162,False,0.8431001890359168,1.0,0.0,0.9998081326484681,0.0,0.0,0.9968102073365231,0.0,0.75,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.8431001890359168,1.0,0.0,0.9998081326484681,0.0,0.0,0.9968102073365231,0.0,0.75,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8752362948960303,0.9903743315508021,0.0018233387358184765,0.999669075012207,130.15934056470596,0.0,0.9968102073365231,0.0,0.8455056179775281,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8695652173913043,0.9913793103448276,0.0016207455429497568,0.9996910095214844,115.69719161307195,0.0,0.9968102073365231,0.0,0.8286516853932584,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9177693761814745,0.9623389494549058,0.007698541329011345,0.9993937015533447,549.5616601620918,0.0,0.9968102073365231,0.0,0.9719101123595506,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,XGBoost,fleet,150000,75000,18.9,C_feature_ablation,CIDv2_Prototype,FS-A-rank,0
5994,1058,0.17650984317650983,0.9498478444697038,0.9386076359120673,4940,0.05043064462733162,False,0.7986767485822306,0.9964622641509434,0.0006077795786061589,0.9988383143071253,43.386446854902,0.0,0.9968102073365231,0.0,0.6179775280898876,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.7986767485822306,0.9964622641509434,0.0006077795786061589,0.9988383143071253,43.386446854902,0.0,0.9968102073365231,0.0,0.6179775280898876,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8204158790170132,0.985244040862656,0.002633711507293355,0.9982156675342224,188.00793637124193,0.0,0.9984051036682615,0.0,0.6797752808988764,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8137996219281664,0.9942263279445728,0.001012965964343598,0.9984626765541873,72.31074475816997,0.0,0.9968102073365231,0.0,0.6629213483146067,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8487712665406427,0.9697624190064795,0.005672609400324149,0.9967321452798924,404.94017064575183,0.0,0.9984051036682615,0.0,0.7640449438202247,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,LightGBM,fleet,150000,75000,54.49,C_feature_ablation,CIDv2_Prototype,FS-A-rank,0
5994,1058,0.17650984317650983,0.8495873839206111,0.7608712247166851,4940,0.05043064462733162,False,0.5916824196597353,0.9984051036682615,0.0002025931928687196,0.027710773050785068,14.462148951633994,0.0,0.9984051036682615,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,False,0.5916824196597353,0.9984051036682615,0.0002025931928687196,0.027710773050785068,14.462148951633994,0.0,0.9984051036682615,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.5926275992438563,0.9984076433121019,0.0002025931928687196,0.012351621873676777,14.462148951633994,0.0,0.9984051036682615,0.0,0.0028089887640449437,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.5926275992438563,0.9984076433121019,0.0002025931928687196,0.012727344408631325,14.462148951633994,0.0,0.9984051036682615,0.0,0.0028089887640449437,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.5935727788279773,0.9359165424739195,0.008711507293354943,0.0031520207412540913,621.8724049202618,0.0,1.0,0.0,0.0028089887640449437,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,LogReg,fleet,150000,75000,6.29,C_feature_ablation,CIDv2_Prototype,FS-A,0
5994,1058,0.17650984317650983,0.9458490224974188,0.9415774133158198,4940,0.05043064462733162,False,0.9092627599243857,1.0,0.0,0.5150128264661836,0.0,0.0,0.9984051036682615,0.0,0.9438202247191011,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.9092627599243857,1.0,0.0,0.5150128264661836,0.0,0.0,0.9984051036682615,0.0,0.9438202247191011,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9120982986767486,0.9897435897435898,0.002025931928687196,0.49741030724164803,144.62148951633995,0.0,0.9984051036682615,0.0,0.952247191011236,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9111531190926276,0.9917695473251029,0.0016207455429497568,0.498460855427068,115.69719161307195,0.0,0.9984051036682615,0.0,0.949438202247191,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9149338374291115,0.9490196078431372,0.01053484602917342,0.48469243134328477,752.0317454849677,0.0,0.9984051036682615,0.0,0.9606741573033708,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,RandomForest,fleet,150000,75000,168.98,C_feature_ablation,CIDv2_Prototype,FS-A,0
