feature_set,model,dos,fuzzing,spoofing,replay,diagnostic,timing,suspension,masquerade
FS-B,Rule:Combined,0.7651446804638666,0.47454962346139556,0.3144877270215507,0.8333333333333333,0.0,0.5678826489942521,0.0064102564102564005,0.0
FS-B,Rule:Combined@target,0.9989242063787689,0.5958160818356131,0.48116290514689686,0.5,0.3333333333333333,0.5481177128919504,0.0064102564102564005,0.0
FS-B,Rule:CombinedQ,0.745247072326128,0.999688887670632,0.09590118065290722,0.0,1.0,0.2474658915953974,0.0,0.0
FS-B,Rule:CombinedQ@target,0.9999524126772628,0.9996557311719584,0.5249151799034785,1.0,1.0,0.4979626330650499,0.42914536926021746,0.0
FS-B,Rule:Hamming,0.0,0.26991589932324755,0.011949932753964882,0.0,0.0,0.10167024134724731,0.0,0.0
FS-B,Rule:Hamming@target,0.0,0.26991589932324755,0.011949932753964882,0.0,0.0,0.10167024134724731,0.0,0.0
FS-B,Rule:IDEntropy,0.8559742757324845,0.0,0.08921770361873561,0.5,0.0,0.048365268574772226,0.012820512820512801,0.0
FS-B,Rule:IDEntropy@target,0.8559742757324845,0.0,0.08921770361873561,0.5,0.0,0.048365268574772226,0.012820512820512801,0.0
FS-B,Rule:Periodicity,0.47946193066548654,0.11460965004002491,0.6231509814752892,0.0,0.0,0.8353168605450167,0.009097410656065234,0.0004339147791373
FS-B,Rule:Periodicity@target,0.47946193066548654,0.11460965004002491,0.6231509814752892,0.0,0.0,0.8353168605450167,0.009097410656065234,0.0004339147791373
FS-B,Rule:Staleness,0.42703413912978194,5.78168362627125e-05,0.00011257458065968332,0.0,0.0,0.000528541226215625,0.6612923581750488,0.0
FS-B,Rule:Staleness@target,0.42703413912978194,5.78168362627125e-05,0.00011257458065968332,0.0,0.0,0.000528541226215625,0.6612923581750488,0.0
FS-B,Rule:UnseenID,0.5213748104805923,0.9057059299452809,0.0,0.0,1.0,0.17646046014710925,0.0,0.0
FS-B,Rule:UnseenID@target,0.5213748104805923,0.9057059299452809,0.0,0.0,1.0,0.17646046014710925,0.0,0.0
FS-B,XGBoost,0.9993030115693402,0.7997400390931613,0.7512581068744981,1.0,0.6333333333333333,0.9553717998859794,0.0033444816053511666,0.0013885272932396
