feature_set,model,CIDv2_OpelAstra,CIDv2_Prototype,CIDv2_RenaultClio,CTT_Forester,CTT_Impala,CTT_Silverado,CTT_Traverse,ROAD_ORNL
FS-B,NN:CNN1D,0.7877112592077207,0.9343712758588693,0.8139841708678891,0.9966262810536092,0.9070316776378204,0.9749724791601806,0.9971632633457248,0.4206739739553241
FS-B,NN:LSTM,0.7000109402998727,0.9405700643726236,0.7616329959359981,0.9877462098658448,0.6960503648762976,0.9705015976633498,0.9967300487148932,0.5035967736030614
FS-B,NN:MLP,0.7877247338408094,0.9339358167256968,0.7963755307469104,0.9989719713134654,0.969940328613866,0.9784969755710906,0.9987433264284554,0.2519441599006934
FS-B,NN:Transformer,0.7380252113111282,0.940657779227029,0.7897338129099183,0.993452718927002,0.937067083454104,0.9707963368898824,0.9971912746111178,0.5961685112383303
FS-B,RandomForest,0.8171086483583161,0.9573658220079876,0.8815771589549541,0.9994803139680556,0.999785228531863,0.9963649759803812,0.999308519617038,0.2654427414894261
FS-B,Rule:BusLoad,0.6715037857330743,0.9116922848166452,0.767296461122359,0.7472803201074667,0.5615334532951812,0.8264804427974272,0.7213190295378508,0.1247288482786936
FS-B,Rule:BusLoad@target,0.6715037857330743,0.9116922848166452,0.767296461122359,0.7472803201074667,0.5615334532951812,0.8264804427974272,0.7213190295378508,0.1247288482786936
FS-B,Rule:Combined,0.830392186923929,0.7699821054468886,0.88714373785511,0.9337915449995234,0.9991399824679196,0.9921033677715666,0.8560473842144095,0.2857610205595409
FS-B,Rule:Combined@target,0.8048795741598631,0.8534483468952315,0.8991666860055825,0.9719179693921788,0.8044449440508674,0.9919014493931336,0.9992469344563524,0.1146759605251016
FS-B,Rule:CombinedQ,0.6878509583878614,0.961468771007608,0.7748227899060316,0.4023495483330362,0.5836603280511103,0.4308071906391425,0.7165112882824025,0.1142153508937347
FS-B,Rule:CombinedQ@target,0.8388055287542451,0.8083454897063634,0.9537124702477972,0.7371901050974269,0.765371406347068,0.8885410771582036,0.7582277817502527,0.1142153508937347
FS-B,Rule:Hamming,0.0132023227812456,0.1308269669148744,0.0898858138239516,0.7306684680448543,0.2028052940109195,0.2924688882866884,0.5668420843898744,0.087643015235528
FS-B,Rule:Hamming@target,0.0132023227812456,0.1308269669148744,0.0898858138239516,0.7306684680448543,0.2028052940109195,0.2924688882866884,0.5668420843898744,0.087643015235528
FS-B,Rule:IDEntropy,0.6838631065551662,0.7340236520092979,0.7808537476510807,0.6047900966183613,0.4641550103570055,0.6878602421035589,0.2802314389984149,0.1286277808573029
FS-B,Rule:IDEntropy@target,0.6838631065551662,0.7340236520092979,0.7808537476510807,0.6047900966183613,0.4641550103570055,0.6878602421035589,0.2802314389984149,0.1286277808573029
FS-B,Rule:Periodicity,0.0147478625105352,0.1444020581268928,0.0798956497907641,0.9342449638827048,0.8013624380228266,0.8603080423241736,0.8111590581094117,0.1128017583977286
FS-B,Rule:Periodicity@target,0.0147478625105352,0.1444020581268928,0.0798956497907641,0.9342449638653284,0.8013624764757343,0.8603080423829567,0.8111590581094119,0.1128017583977286
FS-B,Rule:Staleness,0.9707563744479056,0.7261860260133,0.9757706741377602,0.2174422189769392,0.1166394192200104,0.1817842797561067,0.1880650327340128,0.1002288178645334
FS-B,Rule:Staleness@target,0.9707563744479056,0.7261860260133,0.9757706741377602,0.2174422189769392,0.1166394192200104,0.1817842797561067,0.1880650327340128,0.1002288178645334
FS-B,Rule:UnseenID,0.6837165339956476,0.6800997594948446,0.771680782323325,0.3344222779982174,0.3688933404374649,0.4280761683250416,0.5712169539485302,0.1142153508937347
FS-B,Rule:UnseenID@target,0.6837165339956476,0.6800997594948446,0.771680782323325,0.3344222779982174,0.3688933404374649,0.4280761683250416,0.5712169539485302,0.1142153508937347
FS-B,XGBoost,0.8997597430300331,0.9577599807332122,0.8682478840550546,0.999626230222597,0.9990274270231194,0.9947127822085432,0.9993950913110932,0.3118448696942192
